Date,Time,Fetcher,Student,Status
2026-01-09,09:20:50,UNKNOWN,NO PAIR,DENIED
2026-01-09,09:21:05,UNKNOWN,NO PAIR,DENIED
2026-01-09,09:21:38,KARINA,MINA,DENIED
2026-01-09,09:26:16,KARINA,RYUJIN,AUTHORIZED
2026-01-09,09:26:21,KARINA,DAHYUN,AUTHORIZED
2026-01-09,09:26:26,KARINA,MINA,AUTHORIZED
2026-01-09,09:26:40,CHAEYOUNG,RYUJIN,DENIED
2026-01-09,09:26:48,CHAEYOUNG,DAHYUN,DENIED
2026-01-09,09:26:53,CHAEYOUNG,MINA,DENIED
2026-01-09,09:26:59,CHAEYOUNG,RYUJIN,DENIED
2026-01-09,09:40:55,KARINA,RYUJIN,AUTHORIZED
2026-01-09,09:41:01,KARINA,DAHYUN,AUTHORIZED
2026-01-09,09:41:07,KARINA,MINA,AUTHORIZED
2026-01-09,09:41:23,UNKNOWN,NO PAIR,DENIED
2026-01-09,09:48:05,KARINA,RYUJIN,AUTHORIZED
2026-01-09,09:48:08,KARINA,DAHYUN,AUTHORIZED
2026-01-09,09:48:10,KARINA,MINA,AUTHORIZED
2026-01-09,09:48:54,KARINA,RYUJIN,AUTHORIZED
2026-01-09,09:49:03,KARINA,MINJI,DENIED
2026-01-09,09:54:43 AM,KARINA,RYUJIN,AUTHORIZED
2026-01-09,09:54:56 AM,KARINA,RYUJIN,AUTHORIZED
2026-01-09,09:56:49 AM,<_io.TextIOWrapper name='c:\\Users\\johnk\\OneDrive\\Desktop\\Tapping\\RFIDsystem\\thesis1\\tapping\\..\\history log\\history_2026-01-09.csv' mode='a' encoding='utf-8'>,MULTIPLE,HOLD
2026-01-09,09:56:59 AM,<_io.TextIOWrapper name='c:\\Users\\johnk\\OneDrive\\Desktop\\Tapping\\RFIDsystem\\thesis1\\tapping\\..\\history log\\history_2026-01-09.csv' mode='a' encoding='utf-8'>,MULTIPLE,HOLD
2026-01-09,09:58:06 AM,<_io.TextIOWrapper name='c:\\Users\\johnk\\OneDrive\\Desktop\\Tapping\\RFIDsystem\\thesis1\\tapping\\..\\history log\\history_2026-01-09.csv' mode='a' encoding='utf-8'>,MULTIPLE,HOLD
