Date,Time,Fetcher,Student,Status
2026-02-02,16:17:46,KARINA,DAHYUN,AUTHORIZED
2026-02-02,16:17:50,KARINA,MINA,AUTHORIZED
2026-02-02,16:18:00,KARINA,RYUJIN,AUTHORIZED
2026-02-02,16:18:14,CHAEYOUNG,MINJI,AUTHORIZED
2026-02-02,16:18:38,CHAEYOUNG,MINJI,AUTHORIZED
2026-02-02,17:17:02,KARINA,RYUJIN,AUTHORIZED
2026-02-02,20:49:39,KARINA,RYUJIN,AUTHORIZED
2026-02-02,20:49:45,KARINA,DAHYUN,AUTHORIZED
2026-02-02,20:49:58,KARINA,MINA,AUTHORIZED
2026-02-02,20:50:31,KARINA,RYUJIN,AUTHORIZED
2026-02-02,20:57:20,KARINA,RYUJIN,AUTHORIZED
2026-02-02,20:57:25,KARINA,DAHYUN,AUTHORIZED
2026-02-02,21:08:17,CHAEYOUNG,MINJI,AUTHORIZED
2026-02-02,21:49:10,KARINA,RYUJIN,AUTHORIZED
2026-02-02,21:49:23,CHAEYOUNG,MINJI,AUTHORIZED
2026-02-02,22:18:13,KARINA,RYUJIN,AUTHORIZED
2026-02-02,22:28:47,KARINA,RYUJIN,AUTHORIZED
